자치구,행정동,2020년_만65세이상_인구수,2021년_만65세이상_인구수,2022년_만65세이상_인구수
송파구,석촌동,4284,4391,4631
송파구,삼전동,3814,3913,4121
송파구,가락본동,3575,3733,3950
송파구,가락1동,2999,3426,3792
송파구,가락2동,4020,4223,4478
송파구,문정1동,2854,2924,3176
송파구,문정2동,3743,3938,4127
송파구,장지동,4062,4313,4576
송파구,위례동,2247,3046,3564
송파구,잠실본동,3538,3688,3856
송파구,잠실2동,3237,3595,3851
송파구,잠실3동,5217,5667,5996
송파구,잠실4동,2551,2727,2930
송파구,잠실6동,2666,2781,2977
송파구,잠실7동,2029,2108,2202
강동구,명일1동,3749,3942,4199
강동구,명일2동,2409,2561,2763
강동구,고덕1동,2709,2806,2998
강동구,고덕2동,2687,2961,3147
강동구,암사1동,5786,5986,6252
강동구,암사2동,2250,2348,2501
강동구,암사3동,2474,2635,2797
강동구,천호1동,4867,5159,5411
강동구,천호2동,5778,5820,6069
강동구,천호3동,4480,4573,4767
강동구,성내1동,2904,3062,3174
강동구,성내2동,4132,4304,4418
강동구,성내3동,3615,3794,4062
강동구,길동,7522,7893,8427
강동구,둔촌1동,6,7,4
강동구,둔촌2동,4044,4035,4220
강동구,강일동,5263,5305,5771
강동구,상일1동,5263,4331,4798
강동구,상일2동,3562,1488,1903
